id,module_code,title,category,topic_tags,target_group,description,faculty_tag,level_tag,study_level_match,module_level_number,credits,semester
1,SCI1000,Level 1000 Introduction to Laboratory Systems,Academic,"data analysis,environment,experimentation,foundations",Undergraduate,"Level 1000 Introduction to Laboratory Systems is designed for undergraduate and focuses on data analysis, environment, experimentation within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 1
2,SDS1001,Level 1000 Introduction to Cloud Mining,Academic,"devops,distributed systems,programming,fundamentals",Undergraduate,"Level 1000 Introduction to Cloud Mining is designed for undergraduate and focuses on devops, distributed systems, programming within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
3,SDS1002,Library Research Support,Campus Service,"data science,analytics,cybersecurity,student support,academic support,fundamentals",All Students,"Library Research Support provides university support services related to data science, analytics, cybersecurity for the UBD community.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
4,SCI1003,Level 1000 Introduction to Environmental Research,Academic,"research,environment,biology,fundamentals",Undergraduate,"Level 1000 Introduction to Environmental Research is designed for undergraduate and focuses on research, environment, biology within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 2
5,SCI1004,Internship Preparation Workshop,Career,"scientific methods,biology,research,career,employability,professional skills,fundamentals",Undergraduate,"Internship Preparation Workshop supports undergraduate in preparing for internships, employment, and professional development.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 1
6,SBE1005,Research Poster Session,Student Activity,"business,innovation,entrepreneurship,leadership,basics",All Students,"Research Poster Session is an engagement opportunity for students interested in business, innovation, entrepreneurship and broader campus participation.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 1
7,SDS1006,Level 1000 Introduction to Cybersecurity Design,Academic,"distributed systems,python,sql,basics",Undergraduate,"Level 1000 Introduction to Cybersecurity Design is designed for undergraduate and focuses on distributed systems, python, sql within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 2
8,FASS1007,Entrepreneurship Seminar,Student Activity,"literature,history,policy,leadership,innovation,introductory",All Students,"Entrepreneurship Seminar is an engagement opportunity for students interested in literature, history, policy and broader campus participation.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,4,Semester 1
9,SBE1008,Technology Showcase,Student Activity,"leadership,economics,business,innovation,introductory",All Students,"Technology Showcase is an engagement opportunity for students interested in leadership, economics, business and broader campus participation.",School of Business and Economics,Level 1000,Undergraduate,1000,3,Semester 2
10,FASS1009,Level 1000 Introduction to Media Inquiry,Academic,"critical thinking,sociology,communication,introductory",Undergraduate,"Level 1000 Introduction to Media Inquiry is designed for undergraduate and focuses on critical thinking, sociology, communication within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,4,Semester 2
11,SBE1010,Student Leadership Forum,Student Activity,"finance,marketing,innovation,leadership,foundations",All Students,"Student Leadership Forum is an engagement opportunity for students interested in finance, marketing, innovation and broader campus participation.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 1
12,FASS1011,Level 1000 Introduction to Social Studies,Academic,"communication,media,academic writing,introductory",Undergraduate,"Level 1000 Introduction to Social Studies is designed for undergraduate and focuses on communication, media, academic writing within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,3,Semester 2
13,SDS1012,Level 1000 Introduction to Software Mining,Academic,"data science,web development,sql,fundamentals",Undergraduate,"Level 1000 Introduction to Software Mining is designed for undergraduate and focuses on data science, web development, sql within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 1
14,SDS1013,Level 1000 Introduction to AI Design,Academic,"sql,devops,distributed systems,foundations",Undergraduate,"Level 1000 Introduction to AI Design is designed for undergraduate and focuses on sql, devops, distributed systems within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 1
15,FASS1014,Level 1000 Introduction to Communication Studies,Academic,"innovation,research,history,introductory",Undergraduate,"Level 1000 Introduction to Communication Studies is designed for undergraduate and focuses on innovation, research, history within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,3,Semester 2
16,SDS1015,Level 1000 Introduction to Cloud Architecture,Academic,"machine learning,cybersecurity,programming,introductory",Undergraduate,"Level 1000 Introduction to Cloud Architecture is designed for undergraduate and focuses on machine learning, cybersecurity, programming within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
17,SBE1016,Level 1000 Introduction to Business Practice,Academic,"business,leadership,economics,introductory",Undergraduate,"Level 1000 Introduction to Business Practice is designed for undergraduate and focuses on business, leadership, economics within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 2
